glycan_ID,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,form_name
G10944ZI,unassigned,20,Gal,b,D,p,18,4,Galp
G10944ZI,unassigned,10,Gal,b,D,p,8,4,Galp
G10995NB,unassigned,2,Fuc,a,L,p,NA,x,Fucp
G10995NB,unassigned,13,Gal,b,D,p,N5,x,Galp
G10995NB,unassigned,9,Gal,b,D,p,N2,x,Galp
G11324RD,unassigned,11,Gal,x,D,p,10,x,Galp
G11324RD,unassigned,13,Man,a,D,p,NC,3|6,Manp
G11324RD,unassigned,14,GlcNAc,x,D,p,13,x,GlcpNAc
G11324RD,unassigned,15,Gal,x,D,p,14,x,Galp
G11324RD,unassigned,16,NeuNAc,x,D,p,15,x,NeupNAc
G11324RD,unassigned,19,GlcNAc,x,D,p,13,x,GlcpNAc
G11324RD,unassigned,6,Man,a,D,p,NC,3|6,Manp
G11324RD,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G11324RD,unassigned,8,Gal,x,D,p,7,x,Galp
G11324RD,unassigned,20,Gal,x,D,p,19,x,Galp
G11324RD,unassigned,10,GlcNAc,x,D,p,6,x,GlcpNAc
